Item Name,Quantity,Price,Link,Notes
JLCPCB assembly,1,$44.07,https://jlcpcb.com,
PCB fabrication,1,$6.50,https://jlcpcb.com,minimum order
JLCPCB delivery,1,$23.07,https://jlcpcb.com,
470uF 16V capacitor,3,$0.28,https://robu.in/product/16px470mefcta8x11-5-rubycon-470uf-16v-%C2%B120-375ma120hz-plugind8xl11-5mm-aluminum-electrolytic-capacitors-leaded-rohs/,D8 P3.5
2-pin 3.81mm terminal block,3,$0.19,https://robu.in/product/degson-2-pin-3-81mm-pitch-pluggable-terminal-block/,
3-pin JST-XH cable set,3,$0.37,https://robu.in/product/3-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-10-pcs/,right-angle header required
2-pin JST-XH cable set,6,$0.49,https://robu.in/product/2-pin-jst-xh-2-54mm-pitch-plug-and-socket-with-cable-10-pcs/,right-angle header required
C&K slide switch,3,$1.11,https://robu.in/product/os102011ma1qn1-ck-100ma-single-pole-double-throw-spdt-12v-10000-times-plugin-slide-switches-rohs/,
1m WS2812B 5V 60 LED/m strip,6,TBD,https://robu.in/product-tag/ws2812/,SKU 56337
5V 5A power adapter,3,$26.57,https://robu.in/product/pro-range-5v-5a-power-adapter/,
22 AWG two-core wire,3 m,$1.64,https://robu.in/product/22awg-multicore-insulated-cable2-cores-silicone/,
Robu delivery,1,$1.03,https://robu.in,
5mm common-cathode RGB LED pack,1,$0.45,https://robocraze.com/products/5mm-rgb-led-common-cathode-diffuse-pack-of-10,pack of 10
NTAG213 NFC sticker,3,$1.21,https://robocraze.com/products/13-56-mhz-ntag215-504byte-sticker-nfc-tag,
ESP32-S3 DevKitC-1,3,$30.53,https://robocraze.com/products/7semi-esp32-s3-dev-boardc-1-n8r8-wifi-bluetooth-dual-usb-c-rgb-led,requires PCB redesign
Robocraze delivery,1,$1.03,https://robocraze.com,
Opal acrylic diffuser sheet,2,$19.48,https://www.amazon.in/BIGIMALL-Acrylic-Frosted-Diffuser-Effect/dp/B09KGHJVMG/,
M2.5 hardware box,1,$6.29,https://onlyscrews.in/products/m2-5-phillips-pan-head-ss304-assorted-box,
OnlyScrews delivery,1,$1.55,https://onlyscrews.in,
TOTAL,,$165.86,,excludes LED strips
