Comment,Designator,Footprint,LCSC Part #
10uF,"C2,C5",C_0805_2012Metric,C440198
22uF,C3,C_0805_2012Metric,C45783
0.1uF,"C4,C7,C8",C_0805_2012Metric,C49678
1uF,C6,C_0805_2012Metric,C28323
D_Schottky,D1,D_SMA,C22452
6A,F1,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,C20627124
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
P-MOSFET,Q1,SOT-223-3_TabPin2,
10k,"R1,R2",R_0805_2012Metric,C17414
5.1k,"R3,R4",R_0805_2012Metric,C27834
330,R5,R_0805_2012Metric,C17630
100k,R6,R_0805_2012Metric,C149504
1k,"R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
RESET/BOOT,"SW2,SW3",SW_SPST_SKQG_WithStem,C202424
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
ESP32-S3-WROOM-1-N16,U2,ESP32-S3-WROOM-1,C2913199
74AHCT125,U3,SOIC-14_3.9x8.7mm_P1.27mm,C155176
