Designator,Mid X,Mid Y,Layer,Rotation
C2,98.900000mm,-130.600000mm,Top,-90.000000
C3,98.900000mm,-134.700000mm,Top,-90.000000
C4,93.640000mm,-78.675000mm,Top,0.000000
C5,89.890000mm,-78.675000mm,Top,180.000000
C6,97.890000mm,-78.675000mm,Top,180.000000
C7,101.940000mm,-78.675000mm,Top,180.000000
C8,98.390000mm,-96.675000mm,Top,90.000000
D1,96.300000mm,-119.000000mm,Top,-90.000000
F1,103.300000mm,-123.600000mm,Top,180.000000
J2,89.790000mm,-85.425000mm,Top,-90.000000
Q1,104.100000mm,-131.700000mm,Top,90.000000
R1,99.700000mm,-81.000000mm,Top,0.000000
R2,105.890000mm,-78.675000mm,Top,180.000000
R3,98.140000mm,-88.175000mm,Top,-90.000000
R4,98.140000mm,-84.175000mm,Top,-90.000000
R5,90.800000mm,-144.300000mm,Top,180.000000
R6,96.200000mm,-125.900000mm,Top,-90.000000
R7,96.200000mm,-144.000000mm,Top,0.000000
R8,96.200000mm,-141.600000mm,Top,0.000000
R9,96.200000mm,-139.300000mm,Top,0.000000
SW2,105.040000mm,-93.775000mm,Top,90.000000
SW3,105.040000mm,-84.775000mm,Top,90.000000
U1,92.900000mm,-132.000000mm,Top,180.000000
U2,97.890000mm,-62.675000mm,Top,0.000000
U3,92.620000mm,-95.150000mm,Top,-90.000000
