Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_0805_2012Metric",98.900000,-130.600000,-90.000000,top
"C3","22uF","C_0805_2012Metric",98.900000,-134.700000,-90.000000,top
"C4","0.1uF","C_0805_2012Metric",93.640000,-78.675000,0.000000,top
"C5","10uF","C_0805_2012Metric",89.890000,-78.675000,180.000000,top
"C6","1uF","C_0805_2012Metric",97.890000,-78.675000,180.000000,top
"C7","0.1uF","C_0805_2012Metric",101.940000,-78.675000,180.000000,top
"C8","0.1uF","C_0805_2012Metric",98.390000,-96.675000,90.000000,top
"D1","D_Schottky","D_SMA",96.300000,-119.000000,-90.000000,top
"F1","6A","Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder",103.300000,-123.600000,180.000000,top
"J2","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",89.790000,-85.425000,-90.000000,top
"Q1","P-MOSFET","SOT-223-3_TabPin2",104.100000,-131.700000,90.000000,top
"R1","10k","R_0805_2012Metric",99.700000,-81.000000,0.000000,top
"R2","10k","R_0805_2012Metric",105.890000,-78.675000,180.000000,top
"R3","5.1k","R_0805_2012Metric",98.140000,-88.175000,-90.000000,top
"R4","5.1k","R_0805_2012Metric",98.140000,-84.175000,-90.000000,top
"R5","330","R_0805_2012Metric",90.800000,-144.300000,180.000000,top
"R6","100k","R_0805_2012Metric",96.200000,-125.900000,-90.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.200000,-144.000000,0.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.200000,-141.600000,0.000000,top
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.200000,-139.300000,0.000000,top
"SW2","RESET","SW_SPST_SKQG_WithStem",105.040000,-93.775000,90.000000,top
"SW3","BOOT","SW_SPST_SKQG_WithStem",105.040000,-84.775000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",92.900000,-132.000000,180.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",97.890000,-62.675000,0.000000,top
"U3","74AHCT125","SOIC-14_3.9x8.7mm_P1.27mm",92.620000,-95.150000,-90.000000,top
